Name,Unavailable,Phy,VS Strike,VS Slash,VS Pierce,Mag,Fir,Lit,Hol,Immunity,Robustness,Focus,Vitality,Poise,Wgt
Alberich's Bracers,,1.3,1,1.3,1.3,3.2,2.9,3.1,3.2,13,8,22,24,0,1.4
All-Knowing Gauntlets,,3.2,2.9,3.3,2.9,3.1,2.3,2.5,2.1,9,15,7,7,4,3.5
Astrologer Gloves,,1.3,1,1,1,3.2,3.1,3.2,3.1,14,7,24,21,1,1.4
Azur's Manchettes,,1,0.1,0.6,0.6,3.4,2.8,2.9,3.2,12,8,22,20,0,1.1
Bandit Manchettes,,1.5,1.6,1.7,1.7,1.9,1.9,2.1,1.7,15,8,17,17,0,1.7
Banished Knight Gauntlets,x,4.7,3.7,4.9,4.4,3.3,3.3,3.2,3.3,20,28,13,14,6,5.8
Battlemage Manchettes,,1,1.3,0.6,1,3.2,2.8,2.9,3.1,13,7,0,22,0,1.1
Beast Champion Gauntlets,x,4.4,4.1,4.7,4.6,3.2,3.4,3.2,3.3,19,30,14,13,6,5.8
Black Knife Gauntlets,x,2.8,2.7,3.1,3.1,2.1,2.3,1.6,2.8,9,15,8,8,3,3.1
Blackflame Monk Gauntlets,x,3.3,2.8,3.6,3.2,2.5,3.2,1.9,2.5,11,18,7,11,4,3.9
Blaidd's Gauntlets,x,3.6,3.2,3.6,3.8,2.8,3.2,2.7,2.9,13,21,8,8,5,4.6
Bloodhound Knight Gauntlets,,3.1,2.8,3.5,3.3,2.3,2.5,1.7,2.5,11,17,8,8,3,3.5
Bloodsoaked Manchettes,,1.3,1.5,1,0.6,3.1,3.1,3.1,3.1,14,9,24,22,0,1.4
Blue Silver Bracelets,,2.3,1.5,2.5,1.9,1.9,1.6,1,1,4,14,0,4,0,2.1
Briar Gauntlets,,3.2,2.8,3.3,3.1,2.7,3.1,2.1,2.7,12,24,8,8,3,3.9
Bull-Goat Gauntlets,x,5.2,5.2,4.6,4.6,3.3,3.3,3.7,3.2,24,28,15,18,10,8.8
Carian Knight Gauntlets,,2.9,2.7,3.1,2.9,3.1,2.9,2.3,2.9,9,15,7,8,3,3.5
Champion Bracers,,1.6,2.1,1.7,1.9,1.9,2.3,2.5,2.3,17,11,14,13,1,2.1
Cleanrot Gauntlets,x,3.6,3.3,4,4.4,3.1,3.2,2.8,3.3,21,22,9,11,5,5
Confessor Gloves,,2.1,2.7,2.1,2.3,2.8,2.8,3.1,2.5,21,17,17,18,1,2.8
Crucible Gauntlets,x,4.4,3.4,4.2,4.2,3.2,3.2,2.8,3.3,17,24,12,12,6,5.2
Cuckoo Knight Gauntlets,,3.3,2.8,3.6,3.3,3.1,2.9,2.1,2.5,11,19,0,8,0,3.9
Depraved Perfumer Gloves,,1.5,1.5,1.4,1.2,3.2,3.1,3.1,3.1,23,8,0,28,0,2
Drake Knight Gauntlets,,2.8,2.3,2.9,2.8,2.5,2.8,2.1,2.5,8,15,0,7,0,3.1
Eccentric's Manchettes,,2.9,2.1,2.8,2.9,2.1,2.3,1.5,1.9,8,18,6,4,3,2.9
Elden Lord Bracers,x,2.9,2.7,2.8,3.1,2.1,2.8,1.7,1.9,11,18,6,7,3,3.1
Errant Sorcerer Manchettes,,0.6,0.6,1.3,0.6,3.2,3.1,2.9,3.2,11,7,21,22,0,1.1
Exile Gauntlets,,2.9,2.1,3.1,2.9,1.7,2.5,1.5,2.1,8,17,6,4,3,2.9
Fingerprint Gauntlets,,3.3,2.9,2.9,2.9,2.3,3.1,1.6,2.3,11,20,0,8,0,3.5
Fire Monk Gauntlets,x,3.5,3.1,3.3,3.1,2.7,3.3,2.3,2.3,11,18,8,8,4,3.9
Fire Prelate Gauntlets,x,4.9,4.3,4.6,4.6,3.3,5,3.2,3.3,22,21,30,17,9,8.2
Foot Soldier Gauntlets,,2.1,2.3,2.1,2.1,2.5,2.7,2.8,2.5,20,13,17,17,1,2.6
Gauntlets,,2.9,2.1,3.2,2.9,1.7,2.7,1.5,1.9,8,14,4,6,3,2.9
Gelmir Knight Gauntlets,x,3.3,2.8,3.5,3.3,2.7,3.1,2.5,2.7,12,18,8,8,4,3.9
Godrick Knight Gauntlets,x,3.3,2.9,3.5,3.2,2.7,2.9,2.3,2.7,12,19,8,8,4,3.9
Godrick Soldier Gauntlets,,3.2,2.8,3.2,3.1,2.5,2.7,1.9,2.3,11,18,8,8,4,3.5
Godskin Apostle Bracelets,x,1.7,1.6,1.6,1.3,3.2,3.1,3.2,3.6,17,8,28,25,1,2.1
Godskin Noble Bracelets,x,1.3,2.1,1.5,1.3,3.2,2.9,3.1,3.4,14,8,24,25,1,1.7
Gold Bracelets,x,1,0.6,0.6,0.1,2.9,2.8,2.9,3.2,13,4,0,20,0,0.8
Golden Prosthetic,,1.5,1.5,1.5,1.3,3.2,3.1,3.2,3.2,15,8,0,25,0,2.8
Guardian Bracers,,2.7,2.5,2.5,2.3,2.9,2.8,2.9,2.9,25,17,20,19,1,2.9
Haligtree Gauntlets,,3.2,2.9,3.1,3.2,2.3,2.5,1.9,2.5,11,18,8,8,3,3.5
Haligtree Knight Gauntlets,,3.3,3.1,3.3,3.3,2.5,2.8,2.3,2.8,12,19,0,8,0,3.9
Highwayman Gauntlets,,1.9,2.5,1.9,2.1,2.7,2.7,2.8,2.5,19,12,17,17,1,2.6
Hoslow's Gauntlets,x,3.5,2.9,3.3,3.1,2.7,2.9,2.5,2.5,13,20,8,8,4,3.9
Iron Gauntlets,,2.8,2.3,2.9,2.9,2.1,2.3,1.5,1.9,8,15,6,4,3,2.9
Kaiden Gauntlets,,2.9,2.1,2.9,2.9,1.9,2.1,1.7,1.9,8,15,6,6,3,2.9
Knight Gauntlets,,3.1,2.9,3.3,3.3,2.7,2.7,2.3,2.1,9,17,6,6,4,3.5
Land of Reeds Gauntlets,,2.1,2.3,2.9,2.3,2.5,2.8,2.9,2.7,20,17,17,18,1,2.8
Leather Gloves,x,1.9,2.3,1.9,2.1,2.3,2.3,2.5,2.5,20,12,14,17,1,2.4
Leyndell Knight Gauntlets,x,3.3,3.1,3.3,3.3,2.5,2.8,2.5,2.7,12,19,8,8,4,3.9
Leyndell Soldier Gauntlets,,3.2,2.9,3.1,3.2,2.3,2.5,2.1,2.3,11,18,8,8,4,3.5
Lionel's Gauntlets,x,4.4,4.1,4.9,5,3.3,3.7,3.2,3.3,21,33,14,17,8,7.1
Lusat's Manchettes,,1.3,0.1,1.3,0.1,3.4,2.8,3.1,3.1,12,6,0,22,0,1.1
Malenia's Gauntlet,x,3.1,2.3,3.2,2.8,1.9,2.3,1.6,2.7,17,14,6,6,3,3.1
Malformed Dragon Gauntlets,x,4.2,3.7,4.4,4.2,3.2,3.2,3.4,3.2,19,25,13,13,6,5.3
Maliketh's Gauntlets,x,3.3,2.9,3.5,3.3,2.7,2.8,2.3,3.2,12,19,8,17,4,4.3
Mausoleum Gauntlets,,3.2,2.7,3.3,3.1,2.5,2.5,2.1,2.5,11,17,0,7,0,3.5
Mausoleum Knight Gauntlets,,3.3,2.8,3.6,3.2,2.7,2.8,2.5,2.8,12,18,0,8,0,3.9
Millicent's Gloves,,1,1,1,0.6,3.1,2.9,3.1,3.1,13,7,0,21,0,1.1
Mushroom Arms,,1.5,1.7,0.6,1.3,3.3,1.3,3.2,3.2,34,8,30,25,0,1.7
Night's Cavalry Gauntlets,,3.5,3.2,3.5,3.3,2.7,3.1,2.7,3.1,13,19,0,8,0,4.3
Noble's Gloves,,1.5,1.6,1.5,1.6,3.3,3.3,3.2,3.3,15,8,25,28,1,2.1
Nox Monk Bracelets,,2.1,2.3,2.1,1.9,2.9,2.8,2.8,2.3,20,13,0,15,0,2.6
Omen Gauntlets,x,4.6,3.7,4.7,4.7,3.2,3.6,3.7,3.4,22,21,19,25,9,7.7
Omenkiller Long Gloves,,2.1,1.9,1.7,1.7,2.1,2.3,2.8,2.5,22,9,15,15,1,2.4
Perfumer Gloves,,1,1.5,1.3,1,3.2,2.9,3.1,3.2,20,5,21,22,0,1.4
Preceptor's Gloves,x,1.5,1.6,1.5,1.5,3.6,3.3,3.2,3.2,17,8,28,25,1,2.1
Queen's Bracelets,,1.5,1.3,1.3,1,3.4,3.1,3.2,3.3,14,8,24,28,0,1.7
Radahn Soldier Gauntlets,,3.3,2.7,3.1,2.9,2.5,2.8,1.9,2.3,11,17,0,8,0,3.5
Radahn's Gauntlets,x,4.7,3.7,4.6,4.4,3.3,3.5,3.1,3.3,20,33,14,13,6,5.8
Ragged Gloves,,2.3,2.5,2.3,2.3,2.7,2.8,2.9,2.7,21,14,0,18,0,2.9
Raging Wolf Gauntlets,,3.3,2.9,3.3,3.2,2.5,2.8,1.7,2.3,11,19,6,6,3,3.5
Raya Lucarian Gauntlets,,3.2,2.7,3.3,3.2,2.7,2.7,1.7,2.1,11,18,8,8,4,3.5
Redmane Knight Gauntlets,,3.5,2.8,3.3,3.1,2.7,3.1,2.3,2.7,12,18,0,8,0,3.9
Ronin's Gauntlets,,2.7,2.7,2.8,2.7,2.9,3.1,3.2,2.9,25,19,0,21,0,3.1
Royal Knight Gauntlets,x,4,3.6,4.4,4.2,3.5,3.3,3.1,3.2,17,22,12,12,5,5.2
Royal Remains Gauntlets,,2.9,2.8,3.2,2.9,2.3,2.5,1.9,2.1,12,19,8,4,3,3.5
Scaled Gauntlets,x,4.2,3.6,4.4,4.2,3.3,3.4,3.2,3.3,19,28,13,13,6,5.3
Sorcerer Manchettes,,1,1.3,1.3,0.1,3.2,3.1,2.9,3.1,13,4,21,20,0,1.1
Spellblade's Gloves,,0.9,0.5,0.9,0.9,3.1,2.7,2.8,3.1,11,6,19,20,0,1.2
Traveler's Gloves,,1.3,1.3,1,0.6,3.2,3.2,3.1,3.2,18,7,22,21,0,1.4
Traveler's Manchettes,x,1.6,1.5,1.3,1,3.3,3.2,3.2,3.1,13,8,25,25,1,1.7
Traveling Maiden Gloves,x,1.3,1.5,1.5,1,3.3,3.2,3.2,3.3,15,8,25,28,1,1.7
Tree Sentinel Gauntlets,,4.7,3.7,4.7,4.4,3.2,4.3,3.1,3.5,22,30,14,15,6,6.3
Twinned Gauntlets,x,3.3,3.1,3.6,2.9,2.8,2.8,2.1,2.5,11,18,7,18,4,3.9
Vagabond Knight Gauntlets,,3.3,2.8,3.1,2.9,2.5,2.7,2.1,2.1,12,19,8,8,3,3.5
Veteran's Gauntlets,x,4.7,4.3,4.7,4.4,3.3,3.5,3.2,3.3,21,30,15,15,8,6.3
Vulgar Militia Gauntlets,,1.7,2.1,1.9,1.6,2.1,2.1,2.3,2.1,20,9,14,14,1,2.1
War Surgeon Gloves,,1.6,1.8,2,1.6,2.2,2.4,2.6,2.4,18,13,15,17,1,2.3
Warrior Gauntlets,,2.3,2.3,1.9,1.9,2.5,2.7,2.9,2.3,21,14,17,17,1,2.6
White Reed Gauntlets,,2.3,2.5,2.8,2.1,2.7,2.7,2.9,2.5,22,14,18,17,2,2.8
Zamor Bracelets,,2.8,2.1,2.9,2.5,1.9,1.9,1.3,1.7,6,20,0,4,3,2.8
